New TCP connections detected: 202.21.45.113 -> True: 373, Estimated: 1333, ARE: 1.0000
New TCP connections detected: 202.21.45.96 -> True: 621, Estimated: 1499, ARE: 1.0000
New TCP connections detected: 202.215.76.58 -> True: 290, Estimated: 1206, ARE: 1.0000
New TCP connections detected: 202.215.83.244 -> True: 334, Estimated: 1318, ARE: 1.0000
New TCP connections detected: 202.218.88.107 -> True: 708, Estimated: 1575, ARE: 1.0000
New TCP connections detected: 202.218.93.50 -> True: 622, Estimated: 1388, ARE: 1.0000
New TCP connections detected: 202.218.95.11 -> True: 580, Estimated: 1407, ARE: 1.0000
New TCP connections detected: 202.218.95.114 -> True: 337, Estimated: 1277, ARE: 1.0000
New TCP connections detected: 202.218.95.119 -> True: 204, Estimated: 1185, ARE: 1.0000
New TCP connections detected: 202.218.95.154 -> True: 633, Estimated: 1463, ARE: 1.0000
New TCP connections detected: 202.7.166.224 -> True: 698, Estimated: 1501, ARE: 1.0000
New TCP connections detected: 203.193.112.245 -> True: 302, Estimated: 1171, ARE: 1.0000
New TCP connections detected: 203.193.115.144 -> True: 7892, Estimated: 8810, ARE: 0.1163
New TCP connections detected: 203.193.115.153 -> True: 269, Estimated: 1211, ARE: 1.0000
New TCP connections detected: 203.193.116.105 -> True: 1410, Estimated: 2265, ARE: 0.6064
New TCP connections detected: 203.193.118.180 -> True: 636, Estimated: 1598, ARE: 1.0000
New TCP connections detected: 203.193.120.37 -> True: 424, Estimated: 1243, ARE: 1.0000
New TCP connections detected: 203.193.120.56 -> True: 332, Estimated: 1193, ARE: 1.0000
New TCP connections detected: 203.193.121.131 -> True: 575, Estimated: 1449, ARE: 1.0000
New TCP connections detected: 203.193.121.80 -> True: 8727, Estimated: 9635, ARE: 0.1040
New TCP connections detected: 203.193.121.85 -> True: 581, Estimated: 1480, ARE: 1.0000
New TCP connections detected: 203.193.122.73 -> True: 389, Estimated: 1221, ARE: 1.0000
New TCP connections detected: 203.193.122.75 -> True: 575, Estimated: 1319, ARE: 1.0000
New TCP connections detected: 203.193.124.230 -> True: 673, Estimated: 1489, ARE: 1.0000
New TCP connections detected: 203.193.125.29 -> True: 686, Estimated: 1565, ARE: 1.0000
New TCP connections detected: 203.193.125.85 -> True: 622, Estimated: 1553, ARE: 1.0000
New TCP connections detected: 203.193.125.92 -> True: 568, Estimated: 1481, ARE: 1.0000
New TCP connections detected: 23.216.230.37 -> True: 225, Estimated: 1083, ARE: 1.0000
New TCP connections detected: 43.22.102.20 -> True: 784, Estimated: 1667, ARE: 1.0000
New TCP connections detected: 43.22.126.129 -> True: 301, Estimated: 1237, ARE: 1.0000
Average ARE for epoch: 1.0000
New TCP connections detected: 1.254.174.225 -> True: 324, Estimated: 1153, ARE: 1.0000
New TCP connections detected: 130.189.92.131 -> True: 263, Estimated: 1098, ARE: 1.0000
New TCP connections detected: 130.189.92.133 -> True: 208, Estimated: 1090, ARE: 1.0000
New TCP connections detected: 130.189.92.134 -> True: 270, Estimated: 1195, ARE: 1.0000
New TCP connections detected: 131.98.137.48 -> True: 4653, Estimated: 5537, ARE: 0.1900
New TCP connections detected: 131.98.99.244 -> True: 761, Estimated: 1749, ARE: 1.0000
New TCP connections detected: 131.98.99.245 -> True: 794, Estimated: 1703, ARE: 1.0000
New TCP connections detected: 131.99.1.110 -> True: 340, Estimated: 1203, ARE: 1.0000
New TCP connections detected: 131.99.80.181 -> True: 260, Estimated: 1162, ARE: 1.0000
New TCP connections detected: 131.99.80.24 -> True: 2056, Estimated: 2887, ARE: 0.4042
New TCP connections detected: 131.99.81.23 -> True: 285, Estimated: 1146, ARE: 1.0000
New TCP connections detected: 131.99.96.179 -> True: 217, Estimated: 1038, ARE: 1.0000
New TCP connections detected: 133.11.38.93 -> True: 264, Estimated: 1127, ARE: 1.0000
New TCP connections detected: 133.11.39.75 -> True: 288, Estimated: 1170, ARE: 1.0000
New TCP connections detected: 133.23.76.165 -> True: 245, Estimated: 1036, ARE: 1.0000
New TCP connections detected: 133.3.126.15 -> True: 369, Estimated: 1223, ARE: 1.0000
New TCP connections detected: 133.3.126.20 -> True: 259, Estimated: 1197, ARE: 1.0000
New TCP connections detected: 133.3.126.30 -> True: 428, Estimated: 1327, ARE: 1.0000
New TCP connections detected: 133.3.126.31 -> True: 359, Estimated: 1237, ARE: 1.0000
New TCP connections detected: 133.3.126.40 -> True: 315, Estimated: 1303, ARE: 1.0000
New TCP connections detected: 133.3.126.54 -> True: 355, Estimated: 1176, ARE: 1.0000
New TCP connections detected: 133.3.126.57 -> True: 370, Estimated: 1160, ARE: 1.0000
New TCP connections detected: 133.3.126.60 -> True: 295, Estimated: 1148, ARE: 1.0000
New TCP connections detected: 133.3.228.174 -> True: 253, Estimated: 1093, ARE: 1.0000
New TCP connections detected: 133.3.248.224 -> True: 270, Estimated: 1184, ARE: 1.0000
New TCP connections detected: 133.3.252.102 -> True: 336, Estimated: 1219, ARE: 1.0000
New TCP connections detected: 133.3.254.31 -> True: 289, Estimated: 1220, ARE: 1.0000
New TCP connections detected: 141.161.111.108 -> True: 276, Estimated: 1087, ARE: 1.0000
New TCP connections detected: 150.124.112.108 -> True: 371, Estimated: 1118, ARE: 1.0000
New TCP connections detected: 150.124.136.37 -> True: 549, Estimated: 1427, ARE: 1.0000
New TCP connections detected: 150.124.156.12 -> True: 972, Estimated: 1825, ARE: 0.8776
New TCP connections detected: 150.124.156.14 -> True: 5241, Estimated: 6087, ARE: 0.1614
